,Offence_group,Year,Offence_count
0,Child Sexual Offences,2009,133.0
1,Child Sexual Offences,2010,177.0
2,Child Sexual Offences,2011,156.0
3,Child Sexual Offences,2012,152.0
4,Child Sexual Offences,2013,217.0
5,Child Sexual Offences,2014,294.0
6,Child Sexual Offences,2015,386.0
7,Child Sexual Offences,2016,432.0
8,Child Sexual Offences,2017,482.0
9,Child Sexual Offences,2018,521.0
10,Child Sexual Offences,2019,530.0
11,Child Sexual Offences,2020,664.0
12,Child Sexual Offences,2021,377.0
13,Child Sexual Offences,2022,568.0
14,Child Sexual Offences,2023,435.0
15,Child Sexual Offences,2024,468.0
16,Child Sexual Offences,2025,192.0
17,"Exploitation / Commercial Sex (Prostitution, Pimping)",2009,217.0
18,"Exploitation / Commercial Sex (Prostitution, Pimping)",2010,175.0
19,"Exploitation / Commercial Sex (Prostitution, Pimping)",2011,207.0
20,"Exploitation / Commercial Sex (Prostitution, Pimping)",2012,171.0
21,"Exploitation / Commercial Sex (Prostitution, Pimping)",2013,173.0
22,"Exploitation / Commercial Sex (Prostitution, Pimping)",2014,214.0
23,"Exploitation / Commercial Sex (Prostitution, Pimping)",2015,273.0
24,"Exploitation / Commercial Sex (Prostitution, Pimping)",2016,519.0
25,"Exploitation / Commercial Sex (Prostitution, Pimping)",2017,474.0
26,"Exploitation / Commercial Sex (Prostitution, Pimping)",2018,1443.0
27,"Exploitation / Commercial Sex (Prostitution, Pimping)",2019,1085.0
28,"Exploitation / Commercial Sex (Prostitution, Pimping)",2020,1740.0
29,"Exploitation / Commercial Sex (Prostitution, Pimping)",2021,1852.0
30,"Exploitation / Commercial Sex (Prostitution, Pimping)",2022,3166.0
31,"Exploitation / Commercial Sex (Prostitution, Pimping)",2023,2834.0
32,"Exploitation / Commercial Sex (Prostitution, Pimping)",2024,2509.0
33,"Exploitation / Commercial Sex (Prostitution, Pimping)",2025,639.0
34,Grooming / Contact for Sexual Purposes,2009,0.0
35,Grooming / Contact for Sexual Purposes,2010,0.0
36,Grooming / Contact for Sexual Purposes,2011,0.0
37,Grooming / Contact for Sexual Purposes,2012,0.0
38,Grooming / Contact for Sexual Purposes,2013,0.0
39,Grooming / Contact for Sexual Purposes,2014,0.0
40,Grooming / Contact for Sexual Purposes,2015,0.0
41,Grooming / Contact for Sexual Purposes,2016,0.0
42,Grooming / Contact for Sexual Purposes,2017,0.0
43,Grooming / Contact for Sexual Purposes,2018,0.0
44,Grooming / Contact for Sexual Purposes,2019,0.0
45,Grooming / Contact for Sexual Purposes,2020,0.0
46,Grooming / Contact for Sexual Purposes,2021,0.0
47,Grooming / Contact for Sexual Purposes,2022,0.0
48,Grooming / Contact for Sexual Purposes,2023,30.0
49,Grooming / Contact for Sexual Purposes,2024,188.0
50,Grooming / Contact for Sexual Purposes,2025,46.0
51,Incest / Family-based Offences,2009,53.0
52,Incest / Family-based Offences,2010,68.0
53,Incest / Family-based Offences,2011,39.0
54,Incest / Family-based Offences,2012,74.0
55,Incest / Family-based Offences,2013,45.0
56,Incest / Family-based Offences,2014,37.0
57,Incest / Family-based Offences,2015,43.0
58,Incest / Family-based Offences,2016,37.0
59,Incest / Family-based Offences,2017,49.0
60,Incest / Family-based Offences,2018,41.0
61,Incest / Family-based Offences,2019,66.0
62,Incest / Family-based Offences,2020,36.0
63,Incest / Family-based Offences,2021,25.0
64,Incest / Family-based Offences,2022,30.0
65,Incest / Family-based Offences,2023,26.0
66,Incest / Family-based Offences,2024,59.0
67,Incest / Family-based Offences,2025,50.0
68,Rape / Aggravated Rape,2009,418.0
69,Rape / Aggravated Rape,2010,398.0
70,Rape / Aggravated Rape,2011,392.0
71,Rape / Aggravated Rape,2012,364.0
72,Rape / Aggravated Rape,2013,339.0
73,Rape / Aggravated Rape,2014,365.0
74,Rape / Aggravated Rape,2015,419.0
75,Rape / Aggravated Rape,2016,744.0
76,Rape / Aggravated Rape,2017,890.0
77,Rape / Aggravated Rape,2018,1013.0
78,Rape / Aggravated Rape,2019,1017.0
79,Rape / Aggravated Rape,2020,1041.0
80,Rape / Aggravated Rape,2021,2018.0
81,Rape / Aggravated Rape,2022,1780.0
82,Rape / Aggravated Rape,2023,1600.0
83,Rape / Aggravated Rape,2024,1556.0
84,Rape / Aggravated Rape,2025,364.0
85,Sexual Assault / Abuse (Non-Rape),2009,257.0
86,Sexual Assault / Abuse (Non-Rape),2010,273.0
87,Sexual Assault / Abuse (Non-Rape),2011,224.0
88,Sexual Assault / Abuse (Non-Rape),2012,272.0
89,Sexual Assault / Abuse (Non-Rape),2013,190.0
90,Sexual Assault / Abuse (Non-Rape),2014,80.0
91,Sexual Assault / Abuse (Non-Rape),2015,98.0
92,Sexual Assault / Abuse (Non-Rape),2016,189.0
93,Sexual Assault / Abuse (Non-Rape),2017,218.0
94,Sexual Assault / Abuse (Non-Rape),2018,293.0
95,Sexual Assault / Abuse (Non-Rape),2019,311.0
96,Sexual Assault / Abuse (Non-Rape),2020,261.0
97,Sexual Assault / Abuse (Non-Rape),2021,44.0
98,Sexual Assault / Abuse (Non-Rape),2022,28.0
99,Sexual Assault / Abuse (Non-Rape),2023,30.0
100,Sexual Assault / Abuse (Non-Rape),2024,48.0
101,Sexual Assault / Abuse (Non-Rape),2025,9.0
102,Sexual Harassment / Public Decency / Non-Contact Offences,2009,1025.0
103,Sexual Harassment / Public Decency / Non-Contact Offences,2010,1324.0
104,Sexual Harassment / Public Decency / Non-Contact Offences,2011,1318.0
105,Sexual Harassment / Public Decency / Non-Contact Offences,2012,1372.0
106,Sexual Harassment / Public Decency / Non-Contact Offences,2013,1315.0
107,Sexual Harassment / Public Decency / Non-Contact Offences,2014,1420.0
108,Sexual Harassment / Public Decency / Non-Contact Offences,2015,1419.0
109,Sexual Harassment / Public Decency / Non-Contact Offences,2016,1943.0
110,Sexual Harassment / Public Decency / Non-Contact Offences,2017,2242.0
111,Sexual Harassment / Public Decency / Non-Contact Offences,2018,3009.0
112,Sexual Harassment / Public Decency / Non-Contact Offences,2019,2539.0
113,Sexual Harassment / Public Decency / Non-Contact Offences,2020,2873.0
114,Sexual Harassment / Public Decency / Non-Contact Offences,2021,3324.0
115,Sexual Harassment / Public Decency / Non-Contact Offences,2022,3105.0
116,Sexual Harassment / Public Decency / Non-Contact Offences,2023,2925.0
117,Sexual Harassment / Public Decency / Non-Contact Offences,2024,2792.0
118,Sexual Harassment / Public Decency / Non-Contact Offences,2025,564.0
