,Offence_group,Year,Offence_count
0,Child Sexual Offences,2009,277.0
1,Child Sexual Offences,2010,446.0
2,Child Sexual Offences,2011,337.0
3,Child Sexual Offences,2012,861.0
4,Child Sexual Offences,2013,787.0
5,Child Sexual Offences,2014,1611.0
6,Child Sexual Offences,2015,1125.0
7,Child Sexual Offences,2016,819.0
8,Child Sexual Offences,2017,1447.0
9,Child Sexual Offences,2018,1007.0
10,Child Sexual Offences,2019,1494.0
11,Child Sexual Offences,2020,2212.0
12,Child Sexual Offences,2021,2578.0
13,Child Sexual Offences,2022,1899.0
14,Child Sexual Offences,2023,1953.0
15,Child Sexual Offences,2024,1969.0
16,"Exploitation / Commercial Sex (Prostitution, Pimping)",2009,446.0
17,"Exploitation / Commercial Sex (Prostitution, Pimping)",2010,1397.0
18,"Exploitation / Commercial Sex (Prostitution, Pimping)",2011,851.0
19,"Exploitation / Commercial Sex (Prostitution, Pimping)",2012,646.0
20,"Exploitation / Commercial Sex (Prostitution, Pimping)",2013,652.0
21,"Exploitation / Commercial Sex (Prostitution, Pimping)",2014,716.0
22,"Exploitation / Commercial Sex (Prostitution, Pimping)",2015,605.0
23,"Exploitation / Commercial Sex (Prostitution, Pimping)",2016,705.0
24,"Exploitation / Commercial Sex (Prostitution, Pimping)",2017,699.0
25,"Exploitation / Commercial Sex (Prostitution, Pimping)",2018,1030.0
26,"Exploitation / Commercial Sex (Prostitution, Pimping)",2019,897.0
27,"Exploitation / Commercial Sex (Prostitution, Pimping)",2020,1246.0
28,"Exploitation / Commercial Sex (Prostitution, Pimping)",2021,2064.0
29,"Exploitation / Commercial Sex (Prostitution, Pimping)",2022,1447.0
30,"Exploitation / Commercial Sex (Prostitution, Pimping)",2023,1717.0
31,"Exploitation / Commercial Sex (Prostitution, Pimping)",2024,2009.0
32,Grooming / Contact for Sexual Purposes,2009,99.0
33,Grooming / Contact for Sexual Purposes,2010,187.0
34,Grooming / Contact for Sexual Purposes,2011,182.0
35,Grooming / Contact for Sexual Purposes,2012,149.0
36,Grooming / Contact for Sexual Purposes,2013,191.0
37,Grooming / Contact for Sexual Purposes,2014,143.0
38,Grooming / Contact for Sexual Purposes,2015,140.0
39,Grooming / Contact for Sexual Purposes,2016,127.0
40,Grooming / Contact for Sexual Purposes,2017,106.0
41,Grooming / Contact for Sexual Purposes,2018,188.0
42,Grooming / Contact for Sexual Purposes,2019,261.0
43,Grooming / Contact for Sexual Purposes,2020,214.0
44,Grooming / Contact for Sexual Purposes,2021,225.0
45,Grooming / Contact for Sexual Purposes,2022,253.0
46,Grooming / Contact for Sexual Purposes,2023,220.0
47,Grooming / Contact for Sexual Purposes,2024,222.0
48,Incest / Family-based Offences,2009,0.0
49,Incest / Family-based Offences,2010,0.0
50,Incest / Family-based Offences,2011,0.0
51,Incest / Family-based Offences,2012,0.0
